product,vendor,current_price,old_price,month
drink,Loblaws,46.584,52.32679295566259,6
tea,TandT,35.252,40.99479295566259,4
tea,Loblaws,46.746,52.48879295566259,11
drink,Walmart,87.644,83.261,9
drink,Metro,66.286,62.359,5
drink,Walmart,61.39,67.1327929556626,2
drink,TandT,89.298,95.0407929556626,1
tea,NoFrills,3.127,8.86979295566259,5
tea,Walmart,12.73,18.47279295566259,11
tea,NoFrills,55.344,64.151,3
tea,Walmart,45.413,51.155792955662584,3
drink,Loblaws,29.521,35.26379295566259,2
drink,Loblaws,9.769,15.511792955662589,1
tea,Galleria,61.567,67.30979295566259,3
tea,Loblaws,22.011,27.75379295566259,11
drink,TandT,47.659,48.759,5
tea,TandT,34.862,40.60479295566259,3
drink,NoFrills,72.28,78.0227929556626,2
drink,NoFrills,66.032,71.77479295566259,7
tea,Galleria,6.035,11.77779295566259,2
drink,Walmart,4.611,13.142,12
tea,Walmart,67.173,72.9157929556626,12
tea,Metro,89.576,95.31879295566259,6
drink,NoFrills,17.417,23.159792955662592,12
drink,Galleria,12.185,17.92779295566259,5
drink,NoFrills,34.144,27.139,8
tea,TandT,67.56,73.3027929556626,4
tea,Galleria,49.413,55.155792955662584,6
drink,Loblaws,26.371,28.736,8
tea,Galleria,74.153,79.8957929556626,2
drink,TandT,30.422,36.16479295566259,3
tea,NoFrills,87.3,93.04279295566259,10
tea,Galleria,48.949,54.691792955662585,9
tea,TandT,39.929,45.256,4
drink,Loblaws,36.4,29.425,9
tea,Loblaws,47.06,52.80279295566259,6
drink,Metro,73.586,73.414,11
tea,Walmart,5.27,1.439,10
tea,NoFrills,13.491,19.23379295566259,1
drink,Galleria,18.272,22.668,7
tea,Loblaws,80.446,86.18879295566259,11
tea,Loblaws,4.319,10.06179295566259,10
drink,Loblaws,9.288,15.03079295566259,8
drink,NoFrills,54.843,60.58579295566259,7
drink,NoFrills,66.767,72.50979295566259,3
drink,Galleria,55.828,61.57079295566259,3
tea,Loblaws,72.08,75.999,4
tea,Galleria,72.833,64.502,1
tea,Loblaws,72.383,78.12579295566259,1
drink,Loblaws,49.901,55.64379295566259,9
drink,Metro,74.684,80.42679295566259,11
tea,NoFrills,12.517,18.25979295566259,3
drink,Galleria,3.066,8.80879295566259,3
drink,Loblaws,47.103,52.84579295566259,7
drink,Galleria,30.221,35.96379295566259,10
tea,Walmart,66.77,75.766,5
tea,NoFrills,18.95,11.89,2
tea,NoFrills,83.067,88.80979295566259,11
tea,Walmart,3.93,13.245,3
drink,Walmart,58.125,63.86779295566259,1
drink,TandT,89.058,86.373,3
tea,Walmart,5.689,11.43179295566259,3
drink,Walmart,39.21,44.95279295566259,11
tea,Loblaws,23.321,20.631,6
drink,Loblaws,66.514,72.25679295566259,8
drink,Loblaws,55.101,60.843792955662586,4
drink,NoFrills,89.079,94.82179295566259,6
tea,Walmart,7.259,6.736,3
tea,Loblaws,0.559,6.30179295566259,11
tea,Galleria,17.398,23.14079295566259,7
tea,NoFrills,48.77,54.51279295566259,10
drink,Walmart,17.229,22.97179295566259,3
tea,NoFrills,78.617,84.3597929556626,9
drink,Galleria,55.324,61.066792955662585,1
tea,Metro,35.701,41.44379295566259,2
tea,Loblaws,15.372,21.11479295566259,3
tea,Walmart,4.462,7.655,11
tea,NoFrills,8.832,3.387,4
tea,Walmart,17.074,22.816792955662592,11
tea,Loblaws,75.008,80.75079295566259,1
tea,Metro,84.073,89.81579295566259,7
tea,Walmart,4.748,10.49079295566259,9
tea,Galleria,60.093,65.8357929556626,2
tea,Loblaws,39.581,45.32379295566259,8
drink,NoFrills,29.73,22.338,8
drink,NoFrills,30.884,36.62679295566259,1
drink,Loblaws,67.145,72.88779295566259,12
tea,Walmart,8.259,1.459,12
tea,NoFrills,61.08,66.82279295566259,3
drink,Galleria,67.405,73.1477929556626,3
tea,Metro,63.113,68.8557929556626,2
drink,Metro,81.946,87.68879295566259,11
tea,Loblaws,70.051,75.7937929556626,10
drink,TandT,50.03,52.921,4
drink,TandT,13.589,19.33179295566259,10
tea,Walmart,67.21,72.95279295566259,1
drink,Galleria,89.236,94.9787929556626,1
drink,Walmart,34.402,40.14479295566259,5
drink,Metro,89.945,95.68779295566259,1
tea,Loblaws,7.946,1.87,7
drink,Metro,12.057,17.79979295566259,9
tea,NoFrills,23.254,28.996792955662592,1
tea,Galleria,13.927,19.66979295566259,7
drink,Galleria,59.763,65.50579295566259,2
tea,NoFrills,39.155,44.89779295566259,8
tea,TandT,6.061,11.80379295566259,6
drink,Metro,66.804,63.728,9
tea,Metro,42.996,47.581,2
drink,NoFrills,36.948,33.843,8
drink,Loblaws,55.914,48.455,12
tea,NoFrills,2.265,8.00779295566259,2
tea,NoFrills,55.593,56.062,9
tea,TandT,39.38,45.12279295566259,8
tea,NoFrills,55.7,61.44279295566259,1
drink,Galleria,14.008,19.75079295566259,4
drink,Metro,18.083,23.82579295566259,12
tea,Walmart,16.588,22.33079295566259,1
drink,TandT,35.271,41.01379295566259,2
tea,Galleria,25.265,19.278,6
drink,Galleria,5.263,11.005792955662589,3
drink,Loblaws,68.888,74.6307929556626,12
drink,Galleria,89.856,95.59879295566259,12
drink,Loblaws,41.986,47.728792955662584,4
tea,Walmart,71.628,77.3707929556626,4
tea,Galleria,51.227,56.969792955662584,6
tea,Walmart,64.95,70.6927929556626,5
drink,Metro,35.873,41.615792955662585,12
tea,Metro,25.873,31.61579295566259,9
tea,Galleria,63.425,69.16779295566259,10
drink,Loblaws,45.094,50.83679295566259,7
drink,Metro,28.689,34.43179295566259,11
drink,Walmart,77.64,69.729,12
drink,TandT,54.703,60.44579295566259,10
drink,NoFrills,81.887,87.6297929556626,8
drink,Loblaws,13.363,15.432,12
drink,Walmart,35.002,37.364,4
tea,NoFrills,6.665,12.40779295566259,7
tea,Metro,66.912,67.747,8
drink,NoFrills,65.059,70.80179295566259,12
drink,Loblaws,5.144,10.886792955662589,9
drink,Galleria,29.123,34.86579295566259,4
tea,Loblaws,49.783,55.52579295566259,2
drink,Galleria,77.784,83.5267929556626,10
drink,Loblaws,32.235,37.977792955662586,9
drink,Metro,72.292,78.0347929556626,9
tea,TandT,72.653,78.3957929556626,5
tea,NoFrills,61.427,62.539,1
drink,Galleria,1.696,7.438792955662589,12
drink,Galleria,28.53,31.304,4
drink,TandT,82.105,74.831,11
tea,Loblaws,27.581,33.32379295566259,4
tea,Loblaws,4.565,13.723,12
tea,NoFrills,34.534,40.276792955662586,1
tea,NoFrills,39.569,45.31179295566259,10
drink,Walmart,57.876,63.618792955662585,11
drink,Walmart,68.486,74.2287929556626,6
tea,NoFrills,15.406,21.14879295566259,2
tea,Galleria,21.005,26.74779295566259,4
